Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
"2,875.00",+30.82%,"1,279.40","1,283.05","1,286.70",0.00,0.00,unch,0,0,0.00,48.63%,Call,N/A
"2,900.00",+30.22%,"1,255.80","1,259.55","1,263.30","1,085.20","1,085.20",unch,1,1,1.00,48.70%,Call,03/31/21
"2,925.00",+29.62%,"1,231.10","1,234.80","1,238.50",0.00,0.00,unch,0,0,0.00,47.88%,Call,N/A
"2,950.00",+29.02%,"1,206.50","1,210.20","1,213.90",0.00,0.00,unch,0,0,0.00,47.16%,Call,N/A
"2,975.00",+28.41%,"1,183.70","1,186.00","1,188.30",0.00,0.00,unch,0,0,0.00,46.68%,Call,N/A
"3,000.00",+27.81%,"1,159.10","1,161.40","1,163.70",0.00,0.00,unch,0,0,0.00,45.94%,Call,N/A
"3,025.00",+27.21%,"1,134.60","1,136.85","1,139.10",0.00,0.00,unch,0,0,0.00,45.23%,Call,N/A
"3,050.00",+26.61%,"1,110.10","1,112.35","1,114.60","1,040.64","1,040.64",unch,2,2,1.00,44.53%,Call,05/12/21
"3,075.00",+26.01%,"1,085.60","1,087.95","1,090.30",0.00,0.00,unch,0,0,0.00,43.88%,Call,N/A
"3,100.00",+25.41%,"1,061.10","1,063.45","1,065.80","1,046.26","1,046.26",unch,1,1,1.00,43.17%,Call,05/18/21
"3,125.00",+24.80%,"1,036.70","1,038.95","1,041.20",0.00,0.00,unch,0,0,0.00,42.46%,Call,N/A
"3,140.00",+24.44%,"1,022.10","1,024.35","1,026.60",0.00,0.00,unch,0,0,0.00,42.07%,Call,N/A
"3,150.00",+24.20%,"1,012.30","1,014.65","1,017.00",0.00,0.00,unch,0,0,0.00,41.83%,Call,N/A
"3,160.00",+23.96%,"1,002.60","1,004.90","1,007.20",0.00,0.00,unch,0,0,0.00,41.56%,Call,N/A
"3,170.00",+23.72%,992.80,995.15,997.50,0.00,0.00,unch,0,0,0.00,41.29%,Call,N/A
"3,175.00",+23.60%,988.00,990.30,992.60,0.00,0.00,unch,0,0,0.00,41.17%,Call,N/A
"3,180.00",+23.48%,983.10,985.35,987.60,0.00,0.00,unch,0,0,0.00,41.00%,Call,N/A
"3,190.00",+23.24%,973.40,975.70,978.00,0.00,0.00,unch,0,0,0.00,40.77%,Call,N/A
"3,200.00",+23.00%,963.60,965.90,968.20,769.33,769.33,unch,2,1,2.00,40.47%,Call,02/09/21
"3,210.00",+22.76%,953.90,956.20,958.50,0.00,0.00,unch,0,0,0.00,40.22%,Call,N/A
"3,220.00",+22.52%,944.20,946.45,948.70,0.00,0.00,unch,0,0,0.00,39.94%,Call,N/A
"3,225.00",+22.40%,939.40,941.65,943.90,0.00,0.00,unch,0,0,0.00,39.84%,Call,N/A
"3,230.00",+22.28%,934.50,936.75,939.00,0.00,0.00,unch,0,0,0.00,39.69%,Call,N/A
"3,240.00",+22.04%,924.80,927.05,929.30,0.00,0.00,unch,0,565,0.00,39.43%,Call,N/A
"3,250.00",+21.80%,915.10,917.40,919.70,0.00,0.00,unch,0,0,0.00,39.19%,Call,N/A
"3,260.00",+21.56%,905.40,907.70,910.00,0.00,0.00,unch,0,0,0.00,38.92%,Call,N/A
"3,270.00",+21.32%,895.80,898.05,900.30,0.00,0.00,unch,0,0,0.00,38.68%,Call,N/A
"3,275.00",+21.20%,890.90,893.20,895.50,0.00,0.00,unch,0,0,0.00,38.54%,Call,N/A
"3,280.00",+21.08%,886.10,888.35,890.60,0.00,0.00,unch,0,0,0.00,38.41%,Call,N/A
"3,290.00",+20.83%,876.40,878.65,880.90,0.00,0.00,unch,0,0,0.00,38.14%,Call,N/A
"3,300.00",+20.59%,866.80,869.05,871.30,675.22,43.04,+6.81%,1,1,1.00,37.91%,Call,02/08/21
"3,310.00",+20.35%,857.10,859.35,861.60,0.00,0.00,unch,0,0,0.00,37.63%,Call,N/A
"3,320.00",+20.11%,847.50,849.75,852.00,0.00,0.00,unch,0,0,0.00,37.40%,Call,N/A
"3,325.00",+19.99%,842.70,844.95,847.20,0.00,0.00,unch,0,0,0.00,37.28%,Call,N/A
"3,330.00",+19.87%,837.90,840.10,842.30,0.00,0.00,unch,0,0,0.00,37.14%,Call,N/A
"3,340.00",+19.63%,828.30,830.50,832.70,0.00,0.00,unch,0,0,0.00,36.90%,Call,N/A
"3,350.00",+19.39%,818.70,820.90,823.10,632.92,42.49,+7.20%,1,16,0.06,36.65%,Call,02/08/21
"3,360.00",+19.15%,809.10,811.30,813.50,0.00,0.00,unch,0,300,0.00,36.40%,Call,N/A
"3,370.00",+18.91%,799.50,801.70,803.90,0.00,0.00,unch,0,0,0.00,36.15%,Call,N/A
"3,375.00",+18.79%,794.70,796.90,799.10,0.00,0.00,unch,0,0,0.00,36.03%,Call,N/A
"3,380.00",+18.67%,789.90,792.10,794.30,0.00,0.00,unch,0,0,0.00,35.90%,Call,N/A
"3,390.00",+18.43%,780.30,782.50,784.70,0.00,0.00,unch,0,0,0.00,35.65%,Call,N/A
"3,400.00",+18.19%,770.80,773.00,775.20,561.24,42.97,+8.29%,44,55,0.80,35.42%,Call,03/09/21
"3,410.00",+17.95%,761.20,763.40,765.60,0.00,0.00,unch,0,0,0.00,35.16%,Call,N/A
"3,420.00",+17.71%,751.70,753.50,755.30,544.36,42.54,+8.48%,44,55,0.80,34.80%,Call,03/09/21
"3,425.00",+17.59%,746.90,749.10,751.30,0.00,0.00,unch,0,0,0.00,34.80%,Call,N/A
"3,430.00",+17.47%,742.20,744.35,746.50,465.73,465.73,unch,2,1,2.00,34.68%,Call,03/04/21
"3,440.00",+17.23%,732.70,734.80,736.90,0.00,0.00,unch,0,0,0.00,34.43%,Call,N/A
"3,450.00",+16.98%,723.20,725.30,727.40,717.20,146.48,+25.67%,1,3,0.33,34.19%,Call,04/23/21
"3,460.00",+16.74%,713.70,715.80,717.90,762.38,47.68,+6.67%,25,58,0.43,33.95%,Call,04/29/21
"3,470.00",+16.50%,704.20,706.35,708.50,704.60,2.90,+0.41%,4,5,0.80,33.72%,Call,04/23/21
"3,475.00",+16.38%,699.50,701.60,703.70,748.23,47.43,+6.77%,25,29,0.86,33.59%,Call,04/29/21
"3,480.00",+16.26%,694.80,696.65,698.50,726.43,23.43,+3.33%,25,31,0.81,33.41%,Call,04/26/21
"3,490.00",+16.02%,685.30,687.40,689.50,717.08,26.08,+3.77%,25,28,0.89,33.23%,Call,04/26/21
"3,500.00",+15.78%,675.90,677.95,680.00,709.21,7.31,+1.04%,20,23,0.87,32.99%,Call,04/26/21
"3,510.00",+15.54%,666.50,668.55,670.60,700.00,8.40,+1.21%,20,22,0.91,32.76%,Call,04/26/21
"3,520.00",+15.30%,657.10,659.05,661.00,681.70,3.00,+0.44%,1,2,0.50,32.50%,Call,04/23/21
"3,525.00",+15.18%,652.40,654.35,656.30,408.26,408.26,unch,1,1,1.00,32.38%,Call,03/05/21
"3,530.00",+15.06%,647.70,649.70,651.70,0.00,0.00,unch,0,250,0.00,32.28%,Call,N/A
"3,540.00",+14.82%,639.80,640.40,641.00,444.81,444.81,unch,1,1,1.00,32.07%,Call,03/02/21
"3,550.00",+14.58%,630.50,631.05,631.60,0.00,0.00,unch,0,0,0.00,31.84%,Call,N/A
"3,560.00",+14.34%,621.10,621.70,622.30,0.00,0.00,unch,0,0,0.00,31.60%,Call,N/A
"3,565.00",+14.22%,616.50,617.05,617.60,0.00,0.00,unch,0,0,0.00,31.49%,Call,N/A
"3,570.00",+14.10%,611.80,612.35,612.90,0.00,0.00,unch,0,1,0.00,31.36%,Call,N/A
"3,575.00",+13.98%,607.10,607.70,608.30,587.12,587.12,unch,1,1,1.00,31.25%,Call,04/20/21
"3,580.00",+13.86%,602.50,603.05,603.60,582.62,582.62,unch,1,21,0.05,31.14%,Call,04/20/21
"3,585.00",+13.74%,597.80,598.40,599.00,0.00,0.00,unch,0,0,0.00,31.02%,Call,N/A
"3,590.00",+13.62%,593.20,593.75,594.30,437.72,437.72,unch,2,1,2.00,30.90%,Call,02/08/21
"3,595.00",+13.50%,588.50,589.10,589.70,0.00,0.00,unch,0,0,0.00,30.78%,Call,N/A
"3,600.00",+13.38%,583.90,584.50,585.10,456.10,84.28,+22.67%,2,3,0.67,30.68%,Call,04/01/21
"3,605.00",+13.26%,579.30,579.85,580.40,0.00,0.00,unch,0,0,0.00,30.56%,Call,N/A
"3,610.00",+13.13%,574.60,575.20,575.80,446.70,446.70,unch,2,2,1.00,30.44%,Call,04/01/21
"3,615.00",+13.01%,570.00,570.60,571.20,0.00,0.00,unch,0,0,0.00,30.33%,Call,N/A
"3,620.00",+12.89%,565.40,566.00,566.60,438.90,438.90,unch,1,1,1.00,30.22%,Call,04/01/21
"3,625.00",+12.77%,560.80,561.40,562.00,435.70,435.70,unch,2,2,1.00,30.10%,Call,04/01/21
"3,630.00",+12.65%,556.20,556.80,557.40,0.00,0.00,unch,0,0,0.00,29.99%,Call,N/A
"3,635.00",+12.53%,551.60,552.15,552.70,0.00,0.00,unch,0,0,0.00,29.86%,Call,N/A
"3,640.00",+12.41%,547.00,547.60,548.20,423.60,46.34,+12.28%,1,2,0.50,29.76%,Call,04/01/21
"3,645.00",+12.29%,542.40,543.00,543.60,0.00,0.00,unch,0,0,0.00,29.64%,Call,N/A
"3,650.00",+12.17%,537.80,538.40,539.00,0.00,0.00,unch,0,0,0.00,29.53%,Call,N/A
"3,655.00",+12.05%,533.20,533.80,534.40,545.10,545.10,unch,1,0,0.00,29.41%,Call,05/21/21
"3,660.00",+11.93%,528.60,529.20,529.80,0.00,0.00,unch,0,1,0.00,29.29%,Call,N/A
"3,665.00",+11.81%,524.00,524.60,525.20,0.00,0.00,unch,0,0,0.00,29.17%,Call,N/A
"3,670.00",+11.69%,519.50,520.10,520.70,0.00,0.00,unch,0,0,0.00,29.07%,Call,N/A
"3,675.00",+11.57%,514.90,515.50,516.10,386.81,87.87,+29.39%,2,1,2.00,28.94%,Call,03/17/21
"3,680.00",+11.45%,510.30,510.95,511.60,0.00,0.00,unch,0,0,0.00,28.83%,Call,N/A
"3,685.00",+11.33%,505.80,506.40,507.00,0.00,0.00,unch,0,0,0.00,28.72%,Call,N/A
"3,690.00",+11.21%,501.20,501.85,502.50,481.51,481.51,unch,1,1,1.00,28.60%,Call,05/13/21
"3,695.00",+11.09%,496.70,497.30,497.90,495.80,495.80,unch,1,1,1.00,28.48%,Call,05/06/21
"3,700.00",+10.97%,492.20,492.80,493.40,429.25,-122.18,-22.16%,5,8,0.63,28.38%,Call,05/19/21
"3,705.00",+10.85%,487.60,488.25,488.90,0.00,0.00,unch,0,0,0.00,28.26%,Call,N/A
"3,710.00",+10.73%,483.10,483.70,484.30,432.30,88.16,+25.62%,2,3,0.67,28.13%,Call,04/08/21
"3,715.00",+10.61%,478.60,479.20,479.80,0.00,0.00,unch,0,0,0.00,28.02%,Call,N/A
"3,720.00",+10.49%,474.10,474.70,475.30,347.59,347.59,unch,2,1,2.00,27.91%,Call,03/11/21
"3,725.00",+10.37%,469.60,470.20,470.80,0.00,0.00,unch,0,0,0.00,27.80%,Call,N/A
"3,730.00",+10.25%,465.10,465.70,466.30,488.60,66.10,+15.64%,1,2,0.50,27.68%,Call,04/28/21
"3,735.00",+10.13%,460.60,461.20,461.80,485.20,485.20,unch,1,1,1.00,27.56%,Call,04/28/21
"3,740.00",+10.01%,456.10,456.70,457.30,480.50,145.22,+43.31%,1,3,0.33,27.45%,Call,04/28/21
"3,745.00",+9.89%,451.60,452.25,452.90,481.20,481.20,unch,2,2,1.00,27.34%,Call,04/28/21
"3,750.00",+9.77%,447.10,447.75,448.40,402.59,-69.91,-14.80%,10,42,0.24,27.22%,Call,05/19/21
"3,755.00",+9.65%,442.70,443.30,443.90,467.40,467.40,unch,2,3,0.67,27.11%,Call,04/28/21
"3,760.00",+9.53%,438.20,438.85,439.50,448.12,51.62,+13.02%,15,27,0.56,26.99%,Call,04/15/21
"3,765.00",+9.41%,433.70,434.35,435.00,0.00,0.00,unch,0,0,0.00,26.87%,Call,N/A
"3,770.00",+9.28%,429.30,429.95,430.60,439.38,44.88,+11.38%,15,27,0.56,26.76%,Call,04/15/21
"3,775.00",+9.16%,424.80,425.45,426.10,436.82,223.19,+104.48%,12,12,1.00,26.63%,Call,04/15/21
"3,780.00",+9.04%,420.40,421.05,421.70,257.69,-42.50,-14.16%,1,3,0.33,26.52%,Call,03/08/21
"3,785.00",+8.92%,416.00,416.65,417.30,0.00,0.00,unch,0,0,0.00,26.41%,Call,N/A
"3,790.00",+8.80%,411.60,412.20,412.80,437.60,91.90,+26.58%,1,2,0.50,26.29%,Call,04/28/21
"3,795.00",+8.68%,407.10,407.75,408.40,407.97,407.97,unch,2,1,2.00,26.17%,Call,05/14/21
"3,800.00",+8.56%,402.70,403.35,404.00,424.62,22.85,+5.69%,5,29,0.17,26.05%,Call,05/21/21
"3,805.00",+8.44%,398.30,398.95,399.60,428.10,428.10,unch,1,1,1.00,25.93%,Call,04/28/21
"3,810.00",+8.32%,394.00,394.60,395.20,398.10,148.79,+59.68%,2,73,0.03,25.83%,Call,05/17/21
"3,815.00",+8.20%,389.60,390.20,390.80,414.40,414.40,unch,1,3,0.33,25.71%,Call,04/28/21
"3,820.00",+8.08%,385.20,385.85,386.50,353.90,-56.70,-13.81%,1,57,0.02,25.59%,Call,05/13/21
"3,825.00",+7.96%,380.80,381.45,382.10,409.70,-2.28,-0.55%,1,38,0.03,25.47%,Call,04/28/21
"3,830.00",+7.84%,376.50,377.15,377.80,231.57,21.43,+10.20%,2,115,0.02,25.36%,Call,03/09/21
"3,835.00",+7.72%,372.10,372.75,373.40,0.00,0.00,unch,0,0,0.00,25.24%,Call,N/A
"3,840.00",+7.60%,367.80,368.45,369.10,390.60,156.41,+66.79%,1,6,0.17,25.13%,Call,04/23/21
"3,845.00",+7.48%,363.40,364.05,364.70,390.50,390.50,unch,1,1,1.00,25.00%,Call,04/27/21
"3,850.00",+7.36%,359.10,359.75,360.40,380.67,22.15,+6.18%,5,45,0.11,24.88%,Call,05/21/21
"3,855.00",+7.24%,354.80,355.45,356.10,359.34,-24.56,-6.40%,2,4,0.50,24.77%,Call,05/17/21
"3,860.00",+7.12%,350.50,351.15,351.80,336.27,-50.03,-12.95%,2,23,0.09,24.65%,Call,05/13/21
"3,865.00",+7.00%,346.20,346.85,347.50,370.10,370.10,unch,4,7,0.57,24.53%,Call,04/28/21
"3,870.00",+6.88%,341.90,342.55,343.20,369.10,142.13,+62.62%,24,47,0.51,24.41%,Call,04/23/21
"3,875.00",+6.76%,337.60,338.25,338.90,368.00,4.70,+1.29%,1,55,0.02,24.29%,Call,04/28/21
"3,880.00",+6.64%,333.30,334.00,334.70,336.07,-26.83,-7.39%,2,12,0.17,24.18%,Call,05/11/21
"3,885.00",+6.52%,329.10,329.75,330.40,358.40,358.40,unch,1,1,1.00,24.06%,Call,04/28/21
"3,890.00",+6.40%,324.80,325.45,326.10,349.50,-4.90,-1.38%,1,6,0.17,23.93%,Call,04/27/21
"3,895.00",+6.28%,320.60,321.25,321.90,354.40,354.40,unch,1,2,0.50,23.82%,Call,04/28/21
"3,900.00",+6.16%,316.40,317.05,317.70,314.60,33.33,+11.85%,5,109,0.05,23.70%,Call,05/21/21
"3,905.00",+6.04%,312.20,312.85,313.50,0.00,0.00,unch,0,0,0.00,23.59%,Call,N/A
"3,910.00",+5.92%,307.90,308.60,309.30,303.48,117.18,+62.90%,2,3,0.67,23.46%,Call,04/14/21
"3,915.00",+5.80%,303.80,304.45,305.10,0.00,0.00,unch,0,0,0.00,23.35%,Call,N/A
"3,920.00",+5.68%,299.60,300.25,300.90,330.56,156.76,+90.20%,5,45,0.11,23.23%,Call,04/16/21
"3,925.00",+5.56%,295.40,296.05,296.70,291.47,29.92,+11.44%,2,33,0.06,23.10%,Call,04/14/21
"3,930.00",+5.43%,291.20,291.85,292.50,299.60,137.47,+84.79%,2,8,0.25,22.98%,Call,04/15/21
"3,935.00",+5.31%,287.10,287.75,288.40,0.00,0.00,unch,0,0,0.00,22.86%,Call,N/A
"3,940.00",+5.19%,282.90,283.60,284.30,297.80,106.35,+55.55%,7,97,0.07,22.74%,Call,04/15/21
"3,945.00",+5.07%,278.80,279.45,280.10,0.00,0.00,unch,0,0,0.00,22.62%,Call,N/A
"3,950.00",+4.95%,274.70,275.35,276.00,272.90,-6.80,-2.43%,5,82,0.06,22.50%,Call,05/21/21
"3,955.00",+4.83%,270.60,271.25,271.90,275.80,2.40,+0.88%,1,3,0.33,22.38%,Call,05/17/21
"3,960.00",+4.71%,266.50,267.15,267.80,218.70,-11.10,-4.83%,20,63,0.32,22.26%,Call,05/19/21
"3,965.00",+4.59%,262.40,263.05,263.70,215.20,-68.10,-24.04%,20,21,0.95,22.13%,Call,05/19/21
"3,970.00",+4.47%,258.30,259.00,259.70,276.10,-3.20,-1.15%,4,128,0.03,22.01%,Call,05/06/21
"3,975.00",+4.35%,254.30,254.95,255.60,208.15,-2.14,-1.02%,2,275,0.01,21.89%,Call,04/06/21
"3,980.00",+4.23%,250.30,250.95,251.60,278.70,14.02,+5.30%,4,20,0.20,21.77%,Call,04/23/21
"3,985.00",+4.11%,246.20,246.90,247.60,0.00,0.00,unch,0,0,0.00,21.65%,Call,N/A
"3,990.00",+3.99%,242.20,242.85,243.50,229.22,-41.68,-15.39%,150,150,1.00,21.52%,Call,05/13/21
"3,995.00",+3.87%,238.20,238.90,239.60,0.00,0.00,unch,0,0,0.00,21.40%,Call,N/A
"4,000.00",+3.75%,234.20,234.90,235.60,241.01,36.82,+18.03%,14,874,0.02,21.27%,Call,05/20/21
"4,005.00",+3.63%,230.30,230.95,231.60,259.02,259.02,unch,5,7,0.71,21.15%,Call,04/28/21
"4,010.00",+3.51%,226.30,227.00,227.70,239.90,59.90,+33.28%,8,15,0.53,21.03%,Call,04/21/21
"4,015.00",+3.39%,222.40,223.05,223.70,197.39,197.39,unch,24,22,1.09,20.90%,Call,05/12/21
"4,020.00",+3.27%,218.50,219.15,219.80,175.64,-2.17,-1.22%,4,2,2.00,20.78%,Call,04/06/21
"4,025.00",+3.15%,214.60,215.25,215.90,201.86,-66.84,-24.88%,153,199,0.77,20.66%,Call,05/13/21
"4,030.00",+3.03%,210.70,211.35,212.00,210.80,0.80,+0.38%,4,25,0.16,20.53%,Call,05/18/21
"4,035.00",+2.91%,206.80,207.50,208.20,205.50,205.50,unch,5,10,0.50,20.41%,Call,05/20/21
"4,040.00",+2.79%,203.00,203.65,204.30,195.50,30.90,+18.77%,5,130,0.04,20.28%,Call,05/20/21
"4,045.00",+2.67%,199.20,199.85,200.50,198.00,198.00,unch,5,5,1.00,20.16%,Call,05/20/21
"4,050.00",+2.55%,195.40,196.05,196.70,204.40,20.39,+11.08%,11,219,0.05,20.04%,Call,05/20/21
"4,055.00",+2.43%,191.60,192.25,192.90,200.60,19.00,+10.46%,5,8,0.63,19.91%,Call,05/20/21
"4,060.00",+2.31%,187.80,188.50,189.20,190.53,31.54,+19.84%,2,18,0.11,19.79%,Call,05/21/21
"4,065.00",+2.19%,184.10,184.75,185.40,186.51,14.11,+8.18%,2,14,0.14,19.67%,Call,05/21/21
"4,070.00",+2.07%,180.40,181.05,181.70,181.13,36.63,+25.35%,2,216,0.01,19.56%,Call,05/21/21
"4,075.00",+1.95%,176.70,177.35,178.00,180.57,36.87,+25.66%,174,225,0.77,19.42%,Call,05/21/21
"4,080.00",+1.83%,173.00,173.65,174.30,142.38,-45.02,-24.02%,43,15,2.87,19.29%,Call,05/19/21
"4,085.00",+1.71%,169.40,170.05,170.70,170.90,-3.10,-1.78%,6,10,0.60,19.18%,Call,05/20/21
"4,090.00",+1.58%,165.80,166.45,167.10,129.07,-41.33,-24.25%,1,88,0.01,19.06%,Call,05/19/21
"4,095.00",+1.46%,162.20,162.85,163.50,176.40,176.40,unch,10,8,1.25,18.93%,Call,05/14/21
"4,100.00",+1.34%,158.60,159.15,159.70,138.48,-25.28,-15.44%,43,613,0.07,18.79%,Call,05/19/21
"4,105.00",+1.22%,155.10,155.65,156.20,130.81,130.81,unch,2,1,2.00,18.68%,Call,05/19/21
"4,110.00",+1.10%,151.60,152.15,152.70,159.22,-0.98,-0.61%,1,"1,469",0.00,18.56%,Call,05/21/21
"4,115.00",+0.98%,148.10,148.65,149.20,160.54,17.04,+11.87%,1,35,0.03,18.43%,Call,05/21/21
"4,120.00",+0.86%,144.70,145.20,145.70,146.48,-0.77,-0.52%,8,85,0.09,18.31%,Call,05/20/21
"4,125.00",+0.74%,141.20,141.75,142.30,153.74,8.53,+5.87%,1,"1,491",0.00,18.19%,Call,05/21/21
"4,130.00",+0.62%,137.90,138.40,138.90,142.80,10.30,+7.77%,6,251,0.02,18.07%,Call,05/18/21
"4,135.00",+0.50%,134.50,135.00,135.50,126.20,8.40,+7.13%,20,46,0.43,17.95%,Call,05/13/21
"4,140.00",+0.38%,131.20,131.70,132.20,132.13,-1.42,-1.06%,2,40,0.05,17.89%,Call,05/21/21
"4,145.00",+0.26%,127.90,128.40,128.90,161.50,161.50,unch,14,36,0.39,17.72%,Call,04/30/21
"4,150.00",+0.14%,124.60,125.10,125.60,129.80,24.10,+22.80%,660,"1,167",0.57,17.59%,Call,05/20/21
"4,155.00",+0.02%,121.40,121.90,122.40,125.70,21.67,+20.83%,5,41,0.12,17.48%,Call,05/20/21
"4,160.00",-0.10%,118.20,118.70,119.20,123.30,33.62,+37.49%,2,53,0.04,17.36%,Call,05/20/21
"4,165.00",-0.22%,115.00,115.55,116.10,97.70,-13.10,-11.82%,17,33,0.52,17.25%,Call,05/19/21
"4,170.00",-0.34%,111.90,112.40,112.90,111.59,-7.72,-6.47%,1,61,0.02,17.13%,Call,05/21/21
"4,175.00",-0.46%,108.80,109.35,109.90,112.18,-8.44,-7.00%,46,229,0.20,17.02%,Call,05/20/21
"4,180.00",-0.58%,105.80,106.30,106.80,104.80,-5.00,-4.55%,157,62,2.53,16.90%,Call,05/21/21
"4,185.00",-0.70%,102.80,103.30,103.80,101.80,-37.41,-26.87%,1,27,0.04,16.79%,Call,05/21/21
"4,190.00",-0.82%,99.90,100.40,100.90,103.23,-3.98,-3.71%,40,51,0.78,16.68%,Call,05/20/21
"4,195.00",-0.94%,96.90,97.40,97.90,101.10,-6.60,-6.13%,6,36,0.17,16.56%,Call,05/17/21
"4,200.00",-1.06%,94.10,94.60,95.10,93.90,-3.30,-3.40%,2,"1,284",0.00,16.46%,Call,05/21/21
"4,205.00",-1.18%,91.20,91.70,92.20,102.57,6.97,+7.29%,1,31,0.03,16.34%,Call,05/21/21
"4,210.00",-1.30%,88.40,88.90,89.40,99.72,5.41,+5.74%,1,119,0.01,16.23%,Call,05/21/21
"4,215.00",-1.42%,85.70,86.20,86.70,91.20,-38.12,-29.48%,18,37,0.49,16.13%,Call,05/17/21
"4,220.00",-1.54%,83.00,83.50,84.00,67.07,-19.96,-22.93%,7,19,0.37,16.03%,Call,05/19/21
"4,225.00",-1.66%,80.40,80.85,81.30,83.75,19.29,+29.93%,2,"1,415",0.00,15.92%,Call,05/20/21
"4,230.00",-1.78%,77.80,78.25,78.70,60.99,-28.21,-31.63%,4,29,0.14,15.82%,Call,05/19/21
"4,235.00",-1.90%,75.20,75.70,76.20,77.74,-3.76,-4.61%,4,24,0.17,15.72%,Call,05/21/21
"4,240.00",-2.02%,72.70,73.20,73.70,75.08,-3.19,-4.08%,4,41,0.10,15.62%,Call,05/21/21
"4,245.00",-2.14%,70.20,70.70,71.20,71.74,14.14,+24.55%,4,19,0.21,15.51%,Call,05/21/21
"4,250.00",-2.27%,67.80,68.30,68.80,70.46,7.42,+11.77%,498,"3,657",0.14,15.42%,Call,05/21/21
"4,255.00",-2.39%,65.50,65.95,66.40,75.40,-2.20,-2.84%,10,17,0.59,15.32%,Call,05/14/21
"4,260.00",-2.51%,63.20,63.65,64.10,64.54,-2.15,-3.22%,4,27,0.15,15.23%,Call,05/21/21
"4,265.00",-2.63%,60.90,61.35,61.80,64.90,-2.70,-3.99%,11,28,0.39,15.13%,Call,05/18/21
"4,270.00",-2.75%,58.70,59.15,59.60,65.80,22.84,+53.17%,7,32,0.22,15.04%,Call,05/20/21
